Date,HomeTeam,AwayTeam,FTHG,FTAG,League
2024-01-01,Arsenal,Chelsea,2,1,PL
2024-01-02,Man City,Liverpool,3,1,PL
2024-01-03,Man Utd,Tottenham,1,2,PL
2024-01-04,Newcastle,Aston Villa,2,0,PL
2024-01-05,Brighton,West Ham,1,1,PL
2024-01-06,Wolves,Everton,0,1,PL
2024-01-07,Brentford,Fulham,3,2,PL
2024-01-08,Crystal Palace,Nottingham,1,0,PL
2024-01-09,Bournemouth,Burnley,2,2,PL
2024-01-10,Sheffield Utd,Luton,0,3,PL
2024-01-11,Arsenal,Man City,1,2,PL
2024-01-12,Liverpool,Man Utd,4,0,PL
2024-01-13,Chelsea,Tottenham,2,2,PL
2024-01-14,Aston Villa,Newcastle,1,3,PL
2024-01-15,West Ham,Brighton,0,0,PL
2024-01-16,Everton,Wolves,2,1,PL
2024-01-17,Fulham,Brentford,0,1,PL
2024-01-18,Nottingham,Crystal Palace,1,1,PL
2024-01-19,Burnley,Bournemouth,0,2,PL
2024-01-20,Luton,Sheffield Utd,2,1,PL
2024-01-21,Real Madrid,Barcelona,3,0,LL
2024-01-22,Atletico,Sevilla,1,0,LL
2024-01-23,Valencia,Villarreal,2,1,LL
2024-01-24,Bilbao,Sociedad,1,1,LL
2024-01-25,Betis,Osasuna,0,2,LL
2024-01-26,Real Madrid,Atletico,1,1,LL
2024-01-27,Barcelona,Valencia,4,1,LL
2024-01-28,Sevilla,Bilbao,1,2,LL
2024-01-29,Villarreal,Betis,3,0,LL
2024-01-30,Sociedad,Osasuna,2,0,LL
2024-02-01,Bayern,Dortmund,3,0,BL
2024-02-02,Leverkusen,Leipzig,2,1,BL
2024-02-03,Stuttgart,Freiburg,1,1,BL
2024-02-04,Frankfurt,Gladbach,2,2,BL
2024-02-05,Wolfsburg,Mainz,0,1,BL
2024-02-06,Bayern,Leverkusen,1,2,BL
2024-02-07,Dortmund,Stuttgart,3,1,BL
2024-02-08,Leipzig,Frankfurt,0,0,BL
2024-02-09,Freiburg,Wolfsburg,2,0,BL
2024-02-10,Gladbach,Mainz,1,1,BL
2024-02-11,Juventus,Milan,1,0,SA
2024-02-12,Inter,Roma,2,1,SA
2024-02-13,Napoli,Lazio,3,2,SA
2024-02-14,Atalanta,Fiorentina,2,2,SA
2024-02-15,Bologna,Torino,0,1,SA
2024-02-16,Juventus,Inter,1,1,SA
2024-02-17,Milan,Napoli,2,2,SA
2024-02-18,Roma,Atalanta,0,2,SA
2024-02-19,Lazio,Bologna,1,0,SA
2024-02-20,Fiorentina,Torino,1,0,SA
2024-02-21,PSG,Marseille,2,0,L1
2024-02-22,Lyon,Lille,1,2,L1
2024-02-23,Monaco,Rennes,3,1,L1
2024-02-24,Nice,Lens,0,0,L1
2024-02-25,Montpellier,Toulouse,2,1,L1
2024-02-26,PSG,Lyon,4,0,L1
2024-02-27,Marseille,Monaco,1,1,L1
2024-02-28,Lille,Nice,2,1,L1
2024-02-29,Rennes,Montpellier,3,0,L1
2024-03-01,Lens,Toulouse,1,1,L1
